Unnamed: 0,text,created_at,text_token,text_token_s,text_si,text_sil
58,abc news reports that democratic rep. jahana hayes is projected to win reelection in connecticut’s 5th district. this means it’s quite likely dems will continue to represent every house seat in new england. the only unprojected race there is maine’s 2nd. https://t.co/necb6y6qkc,2022-11-10 16:52:32+00:00,"['abc', 'news', 'reports', 'that', 'democratic', 'rep', 'jahana', 'hayes', 'is', 'projected', 'to', 'win', 'reelection', 'in', 'connecticut', 's', '5th', 'district', 'this', 'means', 'it', 's', 'quite', 'likely', 'dems', 'will', 'continue', 'to', 'represent', 'every', 'house', 'seat', 'in', 'new', 'england', 'the', 'only', 'unprojected', 'race', 'there', 'is', 'maine', 's', '2nd', 'https', 't', 'co', 'necb6y6qkc']","['abc', 'news', 'reports', 'democratic', 'rep', 'jahana', 'hayes', 'projected', 'win', 'reelection', 'connecticut', '5th', 'district', 'means', 'quite', 'likely', 'dems', 'continue', 'represent', 'every', 'house', 'seat', 'new', 'england', 'unprojected', 'race', 'maine', '2nd', 'necb6y6qkc']",abc news reports democratic rep jahana hayes projected win reelection connecticut 5th district means quite likely dems continue represent every house seat new england unprojected race maine 2nd necb6y6qkc,abc news reports democratic rep jahana hayes projected win reelection connecticut 5th district means quite likely dems continue represent every house seat new england unprojected race maine 2nd necb6y6qkc
59,"earlier, abc news reported that democrat gabe vasquez is projected to win new mexico’s 2nd. dems drew the state’s new congressional map with an eye on taking herrell out, shifting the southern-most seat from r+14 to d+4. https://t.co/ixaqezsjkn",2022-11-10 16:50:21+00:00,"['earlier', 'abc', 'news', 'reported', 'that', 'democrat', 'gabe', 'vasquez', 'is', 'projected', 'to', 'win', 'new', 'mexico', 's', '2nd', 'dems', 'drew', 'the', 'state', 's', 'new', 'congressional', 'map', 'with', 'an', 'eye', 'on', 'taking', 'herrell', 'out', 'shifting', 'the', 'southern', 'most', 'seat', 'from', 'r', '14', 'to', 'd', '4', 'https', 't', 'co', 'ixaqezsjkn']","['earlier', 'abc', 'news', 'reported', 'democrat', 'gabe', 'vasquez', 'projected', 'win', 'new', 'mexico', '2nd', 'dems', 'drew', 'state', 'new', 'congressional', 'map', 'eye', 'taking', 'herrell', 'shifting', 'southern', 'seat', 'r', '14', '4', 'ixaqezsjkn']",earlier abc news reported democrat gabe vasquez projected win new mexico 2nd dems drew state new congressional map eye taking herrell shifting southern seat ixaqezsjkn,earlier abc news reported democrat gabe vasquez projected win new mexico 2nd dems drew state new congressional map eye taking herrell shifting southern seat ixaqezsjkn
60,"hobbs leads by 47,000 in maricopa, and kelly leads by 92,572. but in 2020, arizona was one of the few states where republicans gained on wednesday, thursday and friday as more votes were counted. https://t.co/ueqbdcgqy7 https://t.co/hqvj01hets",2022-11-10 16:42:24+00:00,"['hobbs', 'leads', 'by', '47', '000', 'in', 'maricopa', 'and', 'kelly', 'leads', 'by', '92', '572', 'but', 'in', '2020', 'arizona', 'was', 'one', 'of', 'the', 'few', 'states', 'where', 'republicans', 'gained', 'on', 'wednesday', 'thursday', 'and', 'friday', 'as', 'more', 'votes', 'were', 'counted', 'https', 't', 'co', 'ueqbdcgqy7', 'https', 't', 'co', 'hqvj01hets']","['hobbs', 'leads', '47', '000', 'maricopa', 'kelly', 'leads', '92', '572', '2020', 'arizona', 'one', 'states', 'republicans', 'gained', 'wednesday', 'thursday', 'friday', 'votes', 'counted', 'ueqbdcgqy7', 'hqvj01hets']",hobbs leads 000 maricopa kelly leads 572 2020 arizona one states republicans gained wednesday thursday friday votes counted ueqbdcgqy7 hqvj01hets,hobbs leads 000 maricopa kelly leads 572 2020 arizona one states republicans gained wednesday thursday friday votes counted ueqbdcgqy7 hqvj01hets
61,"earlier, abc news reported that democrat yadira caraveo is projected to win colorado’s 8th congressional district. this is a big upset. but colorado really showed up for democrats on tuesday. https://t.co/478wu7gczc",2022-11-10 16:39:21+00:00,"['earlier', 'abc', 'news', 'reported', 'that', 'democrat', 'yadira', 'caraveo', 'is', 'projected', 'to', 'win', 'colorado', 's', '8th', 'congressional', 'district', 'this', 'is', 'a', 'big', 'upset', 'but', 'colorado', 'really', 'showed', 'up', 'for', 'democrats', 'on', 'tuesday', 'https', 't', 'co', '478wu7gczc']","['earlier', 'abc', 'news', 'reported', 'democrat', 'yadira', 'caraveo', 'projected', 'win', 'colorado', '8th', 'congressional', 'district', 'big', 'upset', 'colorado', 'really', 'showed', 'democrats', 'tuesday', '478wu7gczc']",earlier abc news reported democrat yadira caraveo projected win colorado 8th congressional district big upset colorado really showed democrats tuesday 478wu7gczc,earlier abc news reported democrat yadira caraveo projected win colorado 8th congressional district big upset colorado really showed democrats tuesday 478wu7gczc
62,"note: we still don’t know which party will control the senate or the house, but to our eyes, the senate leans democratic at this moment and the house leans republican. https://t.co/9hguwyl53z",2022-11-10 16:37:42+00:00,"['note', 'we', 'still', 'don', 't', 'know', 'which', 'party', 'will', 'control', 'the', 'senate', 'or', 'the', 'house', 'but', 'to', 'our', 'eyes', 'the', 'senate', 'leans', 'democratic', 'at', 'this', 'moment', 'and', 'the', 'house', 'leans', 'republican', 'https', 't', 'co', '9hguwyl53z']","['note', 'still', 'know', 'party', 'control', 'senate', 'house', 'eyes', 'senate', 'leans', 'democratic', 'moment', 'house', 'leans', 'republican', '9hguwyl53z']",note still know party control senate house eyes senate leans democratic moment house leans republican 9hguwyl53z,note still know party control senate house eyes senate leans democratic moment house leans republican 9hguwyl53z
63,most of the tight races we’re watching right now are western states. here are their recount laws: https://t.co/rkxficmomf,2022-11-10 16:36:29+00:00,"['most', 'of', 'the', 'tight', 'races', 'we', 're', 'watching', 'right', 'now', 'are', 'western', 'states', 'here', 'are', 'their', 'recount', 'laws', 'https', 't', 'co', 'rkxficmomf']","['tight', 'races', 'watching', 'right', 'western', 'states', 'recount', 'laws', 'rkxficmomf']",tight races watching right western states recount laws rkxficmomf,tight races watching right western states recount laws rkxficmomf
64,"maricopa county, arizona, has between 400,000 and 410,000 ballots left to count, according to yvonne wingett sanchez of the washington post and brahm resnik of kpnx-tv. the next update from the county will be between 5 p.m. and 8 p.m. local time. https://t.co/oa0in3diyf",2022-11-10 16:35:59+00:00,"['maricopa', 'county', 'arizona', 'has', 'between', '400', '000', 'and', '410', '000', 'ballots', 'left', 'to', 'count', 'according', 'to', 'yvonne', 'wingett', 'sanchez', 'of', 'the', 'washington', 'post', 'and', 'brahm', 'resnik', 'of', 'kpnx', 'tv', 'the', 'next', 'update', 'from', 'the', 'county', 'will', 'be', 'between', '5', 'p', 'm', 'and', '8', 'p', 'm', 'local', 'time', 'https', 't', 'co', 'oa0in3diyf']","['maricopa', 'county', 'arizona', '400', '000', '410', '000', 'ballots', 'left', 'count', 'according', 'yvonne', 'wingett', 'sanchez', 'washington', 'post', 'brahm', 'resnik', 'kpnx', 'tv', 'next', 'update', 'county', '5', 'p', '8', 'p', 'local', 'time', 'oa0in3diyf']",maricopa county arizona 400 000 410 000 ballots left count according yvonne wingett sanchez washington post brahm resnik kpnx next update county local time oa0in3diyf,maricopa county arizona 400 000 410 000 ballots left count according yvonne wingett sanchez washington post brahm resnik kpnx next update county local time oa0in3diyf
65,"abortion-rights supporters managed to enshrine the right to abortion in three state constitutions, including the crucial state of michigan, where a near-total ban on abortion from 1931 has been tangled up in court battles for months. https://t.co/19gwxqy83f",2022-11-10 16:32:05+00:00,"['abortion', 'rights', 'supporters', 'managed', 'to', 'enshrine', 'the', 'right', 'to', 'abortion', 'in', 'three', 'state', 'constitutions', 'including', 'the', 'crucial', 'state', 'of', 'michigan', 'where', 'a', 'near', 'total', 'ban', 'on', 'abortion', 'from', '1931', 'has', 'been', 'tangled', 'up', 'in', 'court', 'battles', 'for', 'months', 'https', 't', 'co', '19gwxqy83f']","['abortion', 'rights', 'supporters', 'managed', 'enshrine', 'right', 'abortion', 'three', 'state', 'constitutions', 'including', 'crucial', 'state', 'michigan', 'near', 'total', 'ban', 'abortion', '1931', 'tangled', 'court', 'battles', 'months', '19gwxqy83f']",abortion rights supporters managed enshrine right abortion three state constitutions including crucial state michigan near total ban abortion 1931 tangled court battles months 19gwxqy83f,abortion rights supporters managed enshrine right abortion three state constitutions including crucial state michigan near total ban abortion 1931 tangled court battles months 19gwxqy83f
66,"the best nfl receivers, according to espn analytics: https://t.co/hqcacdzjzv",2022-11-10 16:00:58+00:00,"['the', 'best', 'nfl', 'receivers', 'according', 'to', 'espn', 'analytics', 'https', 't', 'co', 'hqcacdzjzv']","['best', 'nfl', 'receivers', 'according', 'espn', 'analytics', 'hqcacdzjzv']",best nfl receivers according espn analytics hqcacdzjzv,best nfl receivers according espn analytics hqcacdzjzv
67,"our updating calculation of the president's approval rating accounts for each poll's quality, recency, sample size and partisan lean. https://t.co/gre7ar2i3y",2022-11-10 15:27:08+00:00,"['our', 'updating', 'calculation', 'of', 'the', 'president', 's', 'approval', 'rating', 'accounts', 'for', 'each', 'poll', 's', 'quality', 'recency', 'sample', 'size', 'and', 'partisan', 'lean', 'https', 't', 'co', 'gre7ar2i3y']","['updating', 'calculation', 'president', 'approval', 'rating', 'accounts', 'poll', 'quality', 'recency', 'sample', 'size', 'partisan', 'lean', 'gre7ar2i3y']",updating calculation president approval rating accounts poll quality recency sample size partisan lean gre7ar2i3y,updating calculation president approval rating accounts poll quality recency sample size partisan lean gre7ar2i3y
